"Activity" "Subject" "Feature" "Mean value"
"WALKING" 1 "angle tBodyAccJerkMean gravityMean" 0.0534005800847458
"WALKING" 1 "angle tBodyAccMean gravity" -0.0301017378813559
"WALKING" 1 "angle tBodyGyroJerkMean gravityMean" -0.0858470827457627
"WALKING" 1 "angle tBodyGyroMean gravityMean" 0.0216196774508475
"WALKING" 1 "angle X gravityMean" -0.66195998
"WALKING" 1 "angle Y gravityMean" 0.321443011864407
"WALKING" 1 "angle Z gravityMean" -0.0368892833067797
"WALKING" 1 "fBodyAcc mean X" -0.346048161016949
"WALKING" 1 "fBodyAcc mean Y" -0.0219048103322034
"WALKING" 1 "fBodyAcc mean Z" -0.453806369830508
"WALKING" 1 "fBodyAcc meanFreq X" -0.14579548970339
"WALKING" 1 "fBodyAcc meanFreq Y" 0.198586466508475
"WALKING" 1 "fBodyAcc meanFreq Z" 0.0688995208186441
"WALKING" 1 "fBodyAcc std X" -0.457651383728814
"WALKING" 1 "fBodyAcc std Y" -0.16921968620339
"WALKING" 1 "fBodyAcc std Z" -0.455222146440678
"WALKING" 1 "fBodyAccJerk mean X" -0.304615322881356
"WALKING" 1 "fBodyAccJerk mean Y" -0.0787640836610169
"WALKING" 1 "fBodyAccJerk mean Z" -0.554956709661017
"WALKING" 1 "fBodyAccJerk meanFreq X" -0.0727101584479661
"WALKING" 1 "fBodyAccJerk meanFreq Y" -0.263574018186441
"WALKING" 1 "fBodyAccJerk meanFreq Z" -0.254846438755932
"WALKING" 1 "fBodyAccJerk std X" -0.31431306340678
"WALKING" 1 "fBodyAccJerk std Y" -0.0153329520084746
"WALKING" 1 "fBodyAccJerk std Z" -0.615898188474576
"WALKING" 1 "fBodyAccMag mean" -0.324289427932203
"WALKING" 1 "fBodyAccMag meanFreq" 0.393206208305085
"WALKING" 1 "fBodyAccMag std" -0.577105211694915
"WALKING" 1 "fBodyBodyAccJerkMag mean" -0.169064352813559
"WALKING" 1 "fBodyBodyAccJerkMag meanFreq" 0.20750092670339
"WALKING" 1 "fBodyBodyAccJerkMag std" -0.164091969449153
"WALKING" 1 "fBodyBodyGyroJerkMag mean" -0.583249293389831
"WALKING" 1 "fBodyBodyGyroJerkMag meanFreq" 0.126344614439492
"WALKING" 1 "fBodyBodyGyroJerkMag std" -0.558104554745763
"WALKING" 1 "fBodyBodyGyroMag mean" -0.530704814745763
"WALKING" 1 "fBodyBodyGyroMag meanFreq" 0.305283825254237
"WALKING" 1 "fBodyBodyGyroMag std" -0.651792839661017
"WALKING" 1 "fBodyGyro mean X" -0.429713536101695
"WALKING" 1 "fBodyGyro mean Y" -0.55477211220339
"WALKING" 1 "fBodyGyro mean Z" -0.396659907457627
"WALKING" 1 "fBodyGyro meanFreq X" 0.00727967988474576
"WALKING" 1 "fBodyGyro meanFreq Y" -0.0427009322372881
"WALKING" 1 "fBodyGyro meanFreq Z" 0.139752115269492
"WALKING" 1 "fBodyGyro std X" -0.604053019152542
"WALKING" 1 "fBodyGyro std Y" -0.533046952542373
"WALKING" 1 "fBodyGyro std Z" -0.559856635084746
"WALKING" 1 "tBodyAcc mean X" 0.276426586440678
"WALKING" 1 "tBodyAcc mean Y" -0.0185949199145763
"WALKING" 1 "tBodyAcc mean Z" -0.105500357966102
"WALKING" 1 "tBodyAcc std X" -0.423642838474576
"WALKING" 1 "tBodyAcc std Y" -0.0780912533118644
"WALKING" 1 "tBodyAcc std Z" -0.425257524915254
"WALKING" 1 "tBodyAccJerk mean X" 0.0618080696279661
"WALKING" 1 "tBodyAccJerk mean Y" 0.0182492679288136
"WALKING" 1 "tBodyAccJerk mean Z" 0.00789533706610169
"WALKING" 1 "tBodyAccJerk std X" -0.277530462620339
"WALKING" 1 "tBodyAccJerk std Y" -0.0166022362847458
"WALKING" 1 "tBodyAccJerk std Z" -0.586090418983051
"WALKING" 1 "tBodyAccJerkMag mean" -0.281424153881356
"WALKING" 1 "tBodyAccJerkMag std" -0.164150985127119
"WALKING" 1 "tBodyAccMag mean" -0.290407593728814
